ecg (ms)	filtered ecg (ms2)
0.0567662	0.0000035
0.0515779	0.0000034
0.0476103	0.0000034
0.0436428	0.0000033
0.0436428	0.0000032
0.0418116	0.0000031
0.0430324	0.000003
0.0415064	0.0000029
0.0405909	0.0000028
0.0372337	0.0000027
0.0378441	0.0000027
0.0360129	0.0000027
0.0399805	0.0000026
0.0390649	0.0000026
0.042422	0.0000026
0.0433376	0.0000026
0.0436428	0.0000027
0.0399805	0.0000027
0.0427272	0.0000028
0.0372337	0.0000029
0.0369285	0.0000029
0.0320454	0.000003
0.031435	0.000003
0.0253311	0.000003
0.0231948	0.000003
0.0158701	0.0000029
0.0146493	0.0000028
0.0103766	0.0000027
0.0134286	0.0000026
0.0128182	0.0000026
0.0189221	0.0000025
0.0186169	0.0000025
0.0247207	0.0000024
0.0231948	0.0000024
0.0222792	0.0000024
0.0164805	0.0000024
0.0131234	0.0000024
0.0045779	0.0000024
0.0045779	0.0000023
-0.0033571	0.0000022
-0.0021364	0.0000022
-0.0039675	0.0000021
0.0009156	0.000002
0.0030519	0.000002
0.0067143	0.0000019
0.0070195	0.0000019
0.0128182	0.0000018
0.0134286	0.0000018
0.0146493	0.0000018
0.0103766	0.0000017
0.0079351	0.0000017
0.0018312	0.0000017
0.001526	0.0000017
-0.0012208	0.0000018
0.0018312	0.0000018
0.0054935	0.0000018
0.0122078	0.0000019
0.0152597	0.000002
0.0207532	0.000002
0.0186169	0.0000021
0.0137337	0.0000022
-0.0012208	0.0000022
-0.0051883	0.0000022
-0.0170909	0.0000022
-0.0149545	0.0000022
-0.0155649	0.0000022
-0.009461	0.0000021
-0.0024416	0.0000021
0.0073247	0.0000021
0.0097662	0.000002
0.0131234	0.000002
0.0106818	0.0000019
0.0073247	0.0000018
0.0042727	0.0000018
0.0030519	0.0000017
0.0018312	0.0000017
0.0030519	0.0000017
0.0036623	0.0000017
0.0057987	0.0000017
0.0061039	0.0000017
0.0061039	0.0000017
0.0024416	0.0000016
-0.0036623	0.0000016
-0.0042727	0.0000016
-0.010987	0.0000016
-0.0100714	0.0000015
-0.0112922	0.0000015
-0.0122078	0.0000014
-0.0103766	0.0000014
-0.0076299	0.0000014
-0.0057987	0.0000014
-0.0036623	0.0000014
-0.0030519	0.0000013
-0.0024416	0.0000013
-0.0033571	0.0000014
-0.0030519	0.0000014
-0.0064091	0.0000014
-0.0079351	0.0000014
-0.012513	0.0000014
-0.012513	0.0000014
-0.0152597	0.0000014
-0.0158701	0.0000014
-0.0173961	0.0000015
-0.0173961	0.0000015
-0.0177013	0.0000015
-0.012513	0.0000015
-0.0122078	0.0000016
-0.0097662	0.0000016
-0.0079351	0.0000017
-0.0054935	0.0000017
-0.0088506	0.0000018
-0.0079351	0.0000019
-0.0106818	0.0000019
-0.0106818	0.000002
-0.0115974	0.0000021
-0.0119026	0.0000023
-0.0161753	0.0000024
-0.0137337	0.0000025
-0.0189221	0.0000026
-0.0186169	0.0000027
-0.021974	0.0000029
-0.0198376	0.000003
-0.0216688	0.0000032
-0.0167857	0.0000034
-0.0161753	0.0000036
-0.0152597	0.0000038
-0.0149545	0.0000041
-0.0131234	0.0000043
-0.0140389	0.0000046
-0.0100714	0.0000049
-0.0097662	0.0000052
